City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,praia da vitoria,38.7333,-27.0667,17.09,88,40,8.71,PT,1697956932
349,cabanglasan,8.1214,125.3275,26.71,86,84,1.0,PH,1697956933
350,piti village,13.4626,144.6933,30.49,77,40,6.17,GU,1697956933
351,mhamid,29.82,-5.72,17.43,46,11,3.18,MA,1697956934
352,inari,68.906,27.0288,-0.89,89,99,2.64,FI,1697956934
353,arraial do cabo,-22.9661,-42.0278,20.66,77,100,3.38,BR,1697956935
354,sisimiut,66.9395,-53.6735,-4.02,86,86,4.63,GL,1697956935
355,tongren,27.7172,109.1853,25.24,34,6,1.3,CN,1697956936
356,xining,36.6167,101.7667,11.63,34,100,0.56,CN,1697956937
357,el calafate,-50.3408,-72.2768,4.12,62,84,3.54,AR,1697956937
358,college,64.8569,-147.8028,-3.03,70,100,3.09,US,1697956938
359,zemio,5.0314,25.1361,27.88,64,15,1.95,CF,1697956939
360,anadyr,64.75,177.4833,6.28,86,100,10.73,RU,1697956939
361,sao gabriel da cachoeira,-0.1303,-67.0892,21.93,99,100,0.97,BR,1697956940
362,dunedin,-45.8742,170.5036,9.33,70,54,0.89,NZ,1697956941
363,valparaiso,-33.0393,-71.6273,10.8,93,100,1.03,CL,1697956941
364,pontianak,-0.0333,109.3333,29.99,84,40,3.6,ID,1697956942
365,fort bragg,35.139,-79.006,13.32,76,0,3.6,US,1697956942
366,tura,25.5198,90.2201,28.89,54,11,1.53,IN,1697956943
367,sansanne-mango,10.3592,0.4708,26.24,71,8,0.78,TG,1697956943
368,valencia de alcantara,39.4115,-7.2444,11.57,72,100,2.57,ES,1697956944
369,papao,-17.75,-149.55,25.82,71,63,4.71,PF,1697956944
370,minsk mazowiecki,52.1794,21.5725,11.13,98,100,3.92,PL,1697956945
371,carutapera,-1.195,-46.02,26.66,78,43,4.87,BR,1697956946
372,ploufragan,48.4914,-2.7946,9.98,92,0,3.09,FR,1697956946
373,san andres,12.5847,-81.7006,27.01,94,20,3.09,CO,1697956890
374,debre mark'os,10.35,37.7333,17.56,69,99,2.49,ET,1697956947
375,suzaka,36.65,138.3167,16.66,49,0,1.34,JP,1697956948
376,colonel hill,22.7667,-74.2167,27.97,70,99,5.29,BS,1697956948
377,boa vista,2.8197,-60.6733,22.99,88,100,5.14,BR,1697956949
378,krasnogvardeyskoye,45.8456,41.5186,15.47,66,85,5.06,RU,1697956950
379,belyy yar,53.6039,91.3903,8.94,43,0,4.0,RU,1697956950
380,mahina,-17.5065,-149.489,25.87,61,40,3.09,PF,1697956951
381,salima,-13.7804,34.4587,32.01,39,78,2.83,MW,1697956951
382,hasaki,35.7333,140.8333,18.22,52,5,3.63,JP,1697956952
383,loa janan,-0.583,117.095,32.33,54,76,2.67,ID,1697956953
384,cabinda,-5.55,12.2,25.08,94,100,3.6,AO,1697956953
385,rach gia,10.0167,105.0833,30.38,68,80,4.18,VN,1697956954
386,harnosand,62.6323,17.9379,1.0,76,100,3.09,SE,1697956955
387,morogoro,-6.8167,37.6667,25.1,73,75,0.0,TZ,1697956955
388,weno,7.4515,151.8468,30.97,70,40,0.0,FM,1697956956
389,egilsstadir,65.2653,-14.3948,1.95,93,100,2.57,IS,1697956957
390,pucheng,27.9233,118.5333,22.19,67,97,1.22,CN,1697956957
391,yuzhno-kurilsk,44.0306,145.8556,10.14,59,100,6.32,RU,1697956958
392,kikwit,-5.041,18.8162,24.2,86,100,0.3,CD,1697956959
393,morehead city,34.7229,-76.726,19.44,71,0,3.6,US,1697956959
394,pastavy,55.1168,26.8326,7.11,93,100,3.07,BY,1697956960
395,galesburg,40.9478,-90.3712,9.28,88,0,0.0,US,1697956960
396,sechura,-5.5569,-80.8222,21.1,81,41,5.12,PE,1697956961
397,ceadir-lunga,46.055,28.8303,24.61,27,0,4.68,MD,1697956962
398,rongelap,11.1635,166.8941,28.67,77,100,4.41,MH,1697956962
399,morondava,-20.2833,44.2833,27.85,61,0,3.56,MG,1697956963
400,kingston,17.997,-76.7936,28.53,89,20,2.57,JM,1697956963
401,hami,42.8,93.45,18.11,18,0,2.56,CN,1697956964
402,coahuayana de hidalgo,18.7,-103.6583,24.12,93,95,1.43,MX,1697956964
403,christchurch,-43.5333,172.6333,11.62,74,100,2.57,NZ,1697956870
404,petrozavodsk,61.7849,34.3469,-5.3,100,20,2.0,RU,1697956966
405,kindu,-2.95,25.95,29.8,56,18,0.73,CD,1697956966
406,leutershausen,49.3,10.4167,8.09,54,0,2.06,DE,1697956967
407,antonio enes,-16.2325,39.9086,30.82,49,9,4.77,MZ,1697956968
408,tamandare,-8.7597,-35.1047,24.11,84,24,3.21,BR,1697956968
